provider,latitude,longitude,parameter
airnow,33.553056,-86.815,no2
airnow,33.521427,-86.844112,no2
airnow,33.48378,-112.14256,no2
airnow,33.45797,-112.04659,no2
airnow,33.36985,-112.62068,no2
airnow,33.46173,-112.12796,no2
airnow,33.41046,-112.00264,no2
airnow,33.503833,-112.095767,no2
airnow,32.204411,-110.878067,no2
airnow,32.29515,-110.9823,no2
airnow,32.194671,-111.033167,no2
airnow,35.197288,-90.193141,no2
airnow,34.756189,-92.281296,no2
airnow,37.687526,-121.784217,no2
airnow,37.743065,-122.169935,no2
airnow,37.814781,-122.282347,no2
airnow,37.793624,-122.263376,no2
airnow,37.864767,-122.302741,no2
airnow,37.701222,-121.903019,no2
airnow,37.68975,-121.77155,no2
airnow,39.76168,-121.84047,no2
airnow,37.936013,-122.026154,no2
airnow,38.006311,-121.641918,no2
airnow,37.9604,-122.356811,no2
airnow,37.743649,-121.934188,no2
airnow,36.705474,-119.741332,no2
airnow,36.78538,-119.77321,no2
airnow,36.841592,-119.874739,no2
airnow,36.710833,-119.7775,no2
airnow,36.597442,-119.503659,no2
airnow,36.819449,-119.716433,no2
airnow,40.77678,-124.17949,no2
airnow,32.67618,-115.48307,no2
airnow,32.79222,-115.56306,no2
airnow,35.345607,-118.851825,no2
airnow,35.356615,-119.062613,no2
airnow,35.331612,-118.999961,no2
airnow,35.376953,-119.043889,no2
airnow,35.503587,-119.272606,no2
airnow,36.31567,-119.643447,no2
airnow,34.14435,-117.85036,no2
airnow,34.05111,-118.45636,no2
airnow,34.06659,-118.22688,no2
airnow,34.19925,-118.53276,no2
airnow,33.901389,-118.205,no2
airnow,34.01029,-118.0685,no2
airnow,34.06703,-117.7514,no2
airnow,34.1326,-118.1272,no2
airnow,33.859662,-118.200707,no2
airnow,33.793713,-118.171019,no2
airnow,34.181977,-118.363036,no2
airnow,34.38344,-118.5284,no2
airnow,34.725389,-118.178601,no2
airnow,36.867125,-120.010158,no2
airnow,37.97231,-122.520004,no2
airnow,36.694261,-121.623271,no2
airnow,33.83062,-117.93845,no2
airnow,33.819305,-117.918759,no2
airnow,33.92513,-117.95264,no2
airnow,38.74643,-121.26498,no2
airnow,33.92086,-116.85841,no2
airnow,33.85275,-116.54101,no2
airnow,33.99958,-117.41601,no2
airnow,33.99636,-117.4924,no2
airnow,33.67649,-117.33098,no2
airnow,38.613779,-121.368014,no2
airnow,38.56844,-121.49311,no2
airnow,38.302591,-121.420838,no2
airnow,38.683304,-121.164457,no2
airnow,38.593322,-121.503795,no2
airnow,34.89405,-117.02471,no2
airnow,34.06812,-117.52579,no2
airnow,34.030833,-117.61722,no2
